Reference,Name,Length,CAI,%G+C,%G+C(1),%G+C(2),%G+C(3),Nc
Vulpes lagopus,GU644764,1353,0.781,43.1,45.5,39.7,44.1,55.8
Vulpes lagopus,GU644765,1353,0.777,43,45.5,39.7,43.9,56
Vulpes lagopus,GU644766,1353,0.78,42.9,45.5,39.7,43.7,55.8
Vulpes lagopus,GU644767,1353,0.776,43,45.5,39.7,43.9,56.1
Vulpes lagopus,GU644768,1353,0.779,43.1,45.5,39.7,44.1,55.9
Vulpes lagopus,GU644769,1353,0.78,43,45.7,39.7,43.7,56
Vulpes lagopus,GU644770,1353,0.778,43.3,45.7,39.7,44.6,56.4
Vulpes lagopus,GU644771,1353,0.78,43.3,45.7,39.7,44.6,56.3
Vulpes lagopus,GU644772,1353,0.778,43.3,45.5,40.1,44.3,56.1
Vulpes lagopus,GU644773,1353,0.779,43,45.5,39.5,44.1,55.9
Vulpes lagopus,GU644774,1353,0.779,43.1,45.5,39.7,44.1,56.2
Vulpes lagopus,GU644775,1353,0.78,43,45.5,39.5,44.1,55.9
Vulpes lagopus,GU644776,1353,0.777,42.9,45.5,39.7,43.7,56
Vulpes lagopus,GU644777,1353,0.778,43.2,45.5,39.7,44.6,55.9
Vulpes lagopus,GU644778,1353,0.78,43.2,45.5,39.7,44.6,55.6
Vulpes lagopus,GU644779,1353,0.78,43.1,45.5,39.7,44.1,55.7
Vulpes lagopus,GU644780,1353,0.779,43.3,45.5,39.7,44.8,56.5
Vulpes lagopus,GU644781,1353,0.778,43.2,45.5,39.9,44.1,56.3
Vulpes lagopus,GU644782,1353,0.779,43.3,45.7,39.7,44.6,56.3
Vulpes lagopus,GU644784,1353,0.779,43.1,45.2,39.7,44.3,56
Vulpes lagopus,GU644785,1353,0.779,43.1,45.5,39.7,44.1,56.1
Vulpes lagopus,GU644786,1353,0.779,43.5,45.7,39.7,45,56.5
Vulpes lagopus,GU644787,1353,0.781,43.1,45.5,39.7,44.1,55.2
Vulpes lagopus,GU644788,1353,0.778,43.2,45.7,39.5,44.3,56.1
Vulpes lagopus,JQ685905,1353,0.78,43.2,45.7,39.7,44.3,56.2
Vulpes lagopus,AF351828,1353,0.783,44.6,46.6,39.7,47.7,53.5
Vulpes lagopus,AF351831,1353,0.77,44.2,46.8,39.5,46.3,55
Vulpes lagopus,AF351832,1353,0.779,44.1,45.7,39,47.7,55.2
Vulpes lagopus,AF351833,1353,0.78,43.8,46.1,39.7,45.7,53.1
Vulpes lagopus,AF351855,1353,0.771,43.9,47,39,45.7,53.1
Vulpes lagopus,AF351861,1353,0.78,44.1,46.3,39.5,46.3,54.9
Vulpes lagopus,AF351862,1353,0.78,43.8,45.9,39.2,46.3,53.2
Vulpes lagopus,AY039227,1353,0.779,43.8,46.1,39.5,45.9,55.6
Vulpes lagopus,AY039228,1353,0.781,43.6,46.1,39.2,45.5,53.2
Vulpes lagopus,AY039229,1353,0.779,43.8,46.1,39.2,45.9,54.2
Vulpes lagopus,GU644652,1353,0.783,43.9,46.3,39.5,45.9,53.2
Vulpes lagopus,GU644654,1353,0.778,43.4,46.1,39.2,44.8,53.4
Vulpes lagopus,GU644655,1353,0.78,43.6,46.1,39.5,45.2,53.3
Vulpes lagopus,GU644656,1353,0.782,43.7,46.1,39.2,45.7,53.2
Vulpes lagopus,GU644657,1353,0.783,44.1,46.1,39.2,46.8,53
Vulpes lagopus,GU644658,1353,0.783,43.8,46.1,39.2,45.9,53.4
Vulpes lagopus,GU644659,1353,0.786,43.5,45.9,39.2,45.5,53.2
Vulpes lagopus,GU644660,1353,0.786,44,46.1,39.2,46.6,53.4
Vulpes lagopus,GU644661,1353,0.785,43.8,45.9,39.2,46.1,53.3
Vulpes lagopus,GU644662,1353,0.784,44.1,46.1,39.2,46.8,53.4
Vulpes lagopus,GU644663,1353,0.785,44.1,46.1,39.5,46.6,53.4
Vulpes lagopus,GU644664,1353,0.787,44.2,46.1,39.2,47.2,53.2
Vulpes lagopus,GU644665,1353,0.783,43.9,46.1,39,46.6,53.7
Vulpes lagopus,GU644666,1353,0.786,44,46.1,39.2,46.6,54.1
Vulpes lagopus,GU644667,1353,0.784,43.8,46.1,39.2,46.1,53.5
Vulpes lagopus,GU644668,1353,0.789,44,45.9,39.2,46.8,53.1
Vulpes lagopus,GU644669,1353,0.785,43.8,46.1,39.2,45.9,53.5
Vulpes lagopus,GU644670,1353,0.788,44.1,46.1,39.2,47,54.4
Vulpes lagopus,GU644671,1353,0.785,43.5,46.1,39.2,45.2,52.5
Vulpes lagopus,GU644676,1353,0.779,43.7,46.1,39.2,45.7,54.4
Vulpes lagopus,GU644677,1353,0.779,44,46.1,39.2,46.6,54
Vulpes lagopus,GU644684,1353,0.778,43.5,46.1,39.2,45.2,53.3
Vulpes lagopus,GU644689,1353,0.777,43.5,46.3,39.2,45,53.2
Vulpes lagopus,GU644690,1353,0.778,43.6,46.3,39.2,45.2,53.2
Vulpes lagopus,GU644695,1353,0.778,43.6,46.3,39.2,45.2,53.3
Vulpes lagopus,AF351845,1353,0.775,44.8,46.1,39.9,48.3,57
Vulpes lagopus,AF351846,1353,0.776,45,46.3,39.9,48.8,57.3
Vulpes lagopus,AF351858,1353,0.773,45.3,46.3,40.1,49.4,56.8
Vulpes lagopus,AF394883,1353,0.775,44.9,46.3,39.9,48.3,57.1
Vulpes lagopus,AF394884,1353,0.774,44.8,46.1,39.9,48.3,56.7
Vulpes lagopus,GU644712,1353,0.774,45.1,46.1,39.9,49.2,57.6
Vulpes lagopus,GU644713,1353,0.774,45.1,46.1,40.1,49,58.4
Vulpes lagopus,GU644714,1353,0.777,45.2,46.1,39.9,49.4,57.1
Vulpes lagopus,GU644715,1353,0.775,44.9,46.1,39.9,48.8,57.4
Vulpes lagopus,GU644716,1353,0.775,45.1,46.3,39.9,49,57.3
Vulpes lagopus,GU644717,1353,0.774,44.9,45.9,39.9,48.8,57
Vulpes lagopus,GU644718,1353,0.777,44.9,45.9,39.9,49,57.2
Vulpes lagopus,GU644719,1353,0.776,45.1,46.1,39.9,49.2,57.6
Vulpes lagopus,GU644720,1353,0.775,45,46.1,39.9,49,57.7
Vulpes lagopus,GU644721,1353,0.775,44.9,46.1,39.9,48.8,57.3
Vulpes lagopus,JQ685947,1353,0.774,44.9,46.1,39.9,48.6,56.5
Desmodus rotundus,AY352488,1353,0.746,46,47.7,39.5,50.8,54.3
Desmodus rotundus,AY352501,1353,0.743,44.9,47.7,39.5,47.7,53.6
Desmodus rotundus,JN258588,1353,0.736,44.9,47.9,39.5,47.5,53.2
Desmodus rotundus,JN258592,1353,0.747,46,47.9,39.5,50.8,54.1
Desmodus rotundus,JX987747,1353,0.746,45.9,47.7,39.5,50.6,54.4
Desmodus rotundus,KU198460,1353,0.745,45.8,47.7,39.5,50.3,54.4
Desmodus rotundus,KU198462,1353,0.745,45.8,48.1,39.2,50.1,55.4
Desmodus rotundus,KU198464,1353,0.748,45.9,47.5,39.5,50.8,54.3
Desmodus rotundus,KU198466,1353,0.738,44.9,47.9,39.5,47.2,53.5
Desmodus rotundus,KU198467,1353,0.737,45,47.9,39.5,47.7,53.6
Desmodus rotundus,KU198472,1353,0.737,45,47.9,39.7,47.5,53.8
Desmodus rotundus,KU198476,1353,0.737,45.1,47.9,39.5,47.9,53.3
Desmodus rotundus,KU198477,1353,0.738,45,47.9,39.5,47.7,53.8
Desmodus rotundus,KU198478,1353,0.743,44.8,47.7,39.5,47.2,54.3
Desmodus rotundus,KX036361,1353,0.742,44.9,47.7,39.5,47.5,53.2
Desmodus rotundus,KX036362,1353,0.741,44.9,47.7,39.5,47.7,53.4
Desmodus rotundus,KX036364,1353,0.74,44.7,47.7,39.5,47,53.4
Desmodus rotundus,KX036365,1353,0.739,44.9,48.1,39.5,47,53.3
Desmodus rotundus,KX036366,1353,0.739,45,47.7,39.5,47.9,53.6
Desmodus rotundus,KX954123,1353,0.753,46,47.7,39.5,50.8,53.9
Desmodus rotundus,LT598537,1353,0.742,45.2,47.7,39.5,48.3,54
Desmodus rotundus,LT598538,1353,0.737,44.9,47.9,39.5,47.5,53.8
Desmodus rotundus,LT598539,1353,0.735,45.1,47.9,39.7,47.7,53.7
Desmodus rotundus,LT598540,1353,0.737,45,47.9,39.5,47.7,53.3
Desmodus rotundus,LT598541,1353,0.739,45.1,47.9,39.5,47.9,53.7
Desmodus rotundus,LT598543,1353,0.741,44.8,47.7,39.2,47.5,53.3
Desmodus rotundus,LT909550,1353,0.746,45.9,47.7,39.5,50.6,54.3
Desmodus rotundus,MG458313,1353,0.747,45.9,47.7,39.5,50.6,54.2
Desmodus rotundus,MN233885,1353,0.743,45,47.9,39.5,47.7,54.2
Desmodus rotundus,MN233886,1353,0.741,45,47.9,39.5,47.7,54.3
Desmodus rotundus,MN233892,1353,0.74,45,47.9,39.5,47.7,53.6
Desmodus rotundus,MN233896,1353,0.738,44.9,47.9,39.5,47.5,53.7
Desmodus rotundus,MN233900,1353,0.736,44.9,47.9,39.5,47.2,53.3
Desmodus rotundus,MN233948,1353,0.737,44.9,47.9,39.5,47.5,53.5
Desmodus rotundus,MN233949,1353,0.741,44.9,47.7,39.5,47.7,53.2
Desmodus rotundus,MN233950,1353,0.741,45,47.7,39.5,47.9,53.2
Desmodus rotundus,MN233952,1353,0.74,44.9,47.7,39.7,47.2,53.7
Desmodus rotundus,MN233953,1353,0.742,44.9,47.5,39.5,47.9,53.2
Desmodus rotundus,MN233955,1353,0.741,44.9,47.5,39.5,47.9,53.4
Desmodus rotundus,MN233956,1353,0.738,44.9,47.9,39.5,47.2,53.5
Desmodus rotundus,MN233958,1353,0.741,44.9,47.5,39.5,47.7,53.4
Desmodus rotundus,MN233960,1353,0.738,45.1,47.9,39.5,47.9,53.8
Desmodus rotundus,MN233963,1353,0.735,45,47.9,39.5,47.7,54.1
Desmodus rotundus,MN233967,1353,0.735,44.9,47.9,39.5,47.2,53.3
Desmodus rotundus,MN233968,1353,0.742,44.9,47.7,39.5,47.7,54.2
Desmodus rotundus,MN233969,1353,0.742,45,47.7,39.7,47.7,54.2
Desmodus rotundus,MN233973,1353,0.737,45,47.9,39.5,47.7,53.7
Desmodus rotundus,MN233974,1353,0.738,45.1,47.9,39.5,47.9,53.8
Desmodus rotundus,MN233975,1353,0.737,44.9,47.9,39.5,47.5,53.7
Desmodus rotundus,MN233977,1353,0.737,44.8,47.9,39.5,47,53.7
Desmodus rotundus,MN233978,1353,0.736,45.2,48.1,39.5,47.9,54.1
Desmodus rotundus,MN233982,1353,0.736,44.9,47.9,39.5,47.5,53.7
Desmodus rotundus,MN233985,1353,0.737,45,47.9,39.5,47.7,53.6
Desmodus rotundus,MN233988,1353,0.737,45,47.9,39.5,47.7,53.1
Desmodus rotundus,MN233991,1353,0.738,44.9,47.7,39.5,47.5,53.8
Desmodus rotundus,MN233992,1353,0.742,44.9,47.5,39.5,47.7,54.1
Desmodus rotundus,MN233998,1353,0.736,44.9,47.9,39.5,47.2,53.7
Desmodus rotundus,MN234000,1353,0.743,45,47.9,39.5,47.7,54.1
Desmodus rotundus,MN234002,1353,0.737,44.9,47.9,39.5,47.2,53.5
Desmodus rotundus,MN234004,1353,0.739,44.7,47.9,39.5,46.8,53.2
Desmodus rotundus,MN234008,1353,0.736,44.9,47.9,39.5,47.2,53.7
Desmodus rotundus,MN234016,1353,0.737,45,47.9,39.5,47.7,53.7
Desmodus rotundus,MN234017,1353,0.739,45,47.7,39.5,47.9,53.6
Desmodus rotundus,MN234018,1353,0.739,44.8,47.5,39.5,47.5,53.3
Desmodus rotundus,MN234023,1353,0.738,45,47.9,39.5,47.7,53.9
Desmodus rotundus,MN234043,1353,0.737,45,47.9,39.5,47.7,53.7
Desmodus rotundus,MN234046,1353,0.736,44.9,47.9,39.5,47.5,53.8
Desmodus rotundus,MN234055,1353,0.737,44.9,47.9,39.5,47.5,53.3
Desmodus rotundus,MN384717,1353,0.742,45.2,47.9,39.2,48.3,53.6
Desmodus rotundus,DQ666289,1353,0.726,44.9,47.2,39.7,47.7,56.9
Desmodus rotundus,DQ666290,1353,0.727,44.7,47.5,39,47.7,56.7
Desmodus rotundus,DQ866105,1353,0.727,44.8,47.7,38.6,48.1,57
Desmodus rotundus,DQ866106,1353,0.728,44.6,47.2,38.8,47.7,56.5
Desmodus rotundus,DQ866108,1353,0.725,44.4,47.5,38.8,47,56.8
Desmodus rotundus,DQ866109,1353,0.724,44.6,47.7,38.8,47.2,56.5
Desmodus rotundus,DQ866110,1353,0.724,44.3,47.7,38.8,46.3,57.3
Desmodus rotundus,DQ866112,1353,0.725,44.6,47.5,38.8,47.5,57.1
Desmodus rotundus,DQ866116,1353,0.724,44.3,47.9,38.8,46.3,56.7
Desmodus rotundus,DQ866119,1353,0.726,44.6,47.7,38.8,47.2,57.3
Desmodus rotundus,EU086182,1353,0.727,44.6,47.7,38.8,47.2,56.3
Desmodus rotundus,EU086183,1353,0.725,44.6,47.9,39,46.8,56.3
Desmodus rotundus,EU828653,1353,0.721,44.3,48.1,38.6,46.1,56.6
Desmodus rotundus,FJ561726,1353,0.721,44.5,48.1,38.8,46.6,57
Desmodus rotundus,FJ561727,1353,0.722,44.6,48.1,39,46.6,57
Desmodus rotundus,FJ561728,1353,0.725,44.9,48.3,38.8,47.7,57.2
Desmodus rotundus,FJ866829,1353,0.722,45.2,48.8,39,47.7,57.4
Desmodus rotundus,FJ866830,1353,0.721,44.8,48.1,39,47.2,57.6
Desmodus rotundus,FJ866831,1353,0.724,44.8,48.3,38.8,47.2,57.4
Desmodus rotundus,GQ472468,1353,0.726,44.6,47.5,39,47.5,56.1
Desmodus rotundus,GQ472470,1353,0.729,44.9,47.7,39,47.9,56.3
Desmodus rotundus,GQ472473,1353,0.727,44.4,47.5,38.8,47,56.4
Desmodus rotundus,GQ472477,1353,0.725,44.6,47.5,38.6,47.7,56.9
Desmodus rotundus,GU358653,1353,0.727,44.7,48.1,38.8,47.2,56.2
Desmodus rotundus,HM486355,1353,0.724,44.5,47.5,39,47,59.6
Desmodus rotundus,HM486356,1353,0.724,44.5,47.5,39,47,59.7
Desmodus rotundus,HM486368,1353,0.726,44.4,47.2,38.8,47.2,56.6
Desmodus rotundus,HM486369,1353,0.724,44.6,47.7,39,47,59.6
Desmodus rotundus,HM486374,1353,0.724,44.6,47.5,39.2,47,59.4
Desmodus rotundus,HM486379,1353,0.724,44.6,47.5,39.2,47,59.7
Desmodus rotundus,HM486381,1353,0.723,44.9,48.6,39.5,46.6,56.5
Desmodus rotundus,JF819605,1353,0.721,44.9,47.9,39.7,47,59.1
Desmodus rotundus,JF819615,1353,0.724,44.6,47.5,39.2,47,59.5
Desmodus rotundus,JN974823,1353,0.727,44.8,47.9,38.6,47.9,57
Desmodus rotundus,JN974824,1353,0.725,44.5,47.9,38.8,46.8,56.5
Desmodus rotundus,JN974828,1353,0.727,44.6,47.5,38.8,47.7,56.6
Desmodus rotundus,JN974829,1353,0.728,44.6,47.5,38.8,47.7,56.2
Desmodus rotundus,JN974838,1353,0.722,44.6,48.3,38.8,46.6,56.9
Desmodus rotundus,JN974842,1353,0.728,44.8,47.9,38.6,47.9,57
Desmodus rotundus,JN974845,1353,0.73,44.7,47.7,38.6,47.9,56.8
Desmodus rotundus,JN974870,1353,0.723,44.3,47.2,38.8,47,58.9
Desmodus rotundus,JN974871,1353,0.726,44.4,47.2,39,47,59.8
Desmodus rotundus,JN974872,1353,0.724,44.5,47.5,39,47,59.5
Desmodus rotundus,JN974873,1353,0.723,44.4,47.5,38.8,47,60.5
Desmodus rotundus,JQ970480,1353,0.733,44.8,47.7,38.6,48.1,56.8
Desmodus rotundus,KT221107,1353,0.729,44.6,47.7,38.4,47.9,56.9
Desmodus rotundus,KT894558,1353,0.731,45,48.1,39,47.9,57.4
Desmodus rotundus,KT894572,1353,0.728,44.7,48.1,38.6,47.5,57
Desmodus rotundus,KT894573,1353,0.729,44.5,47.9,38.6,47,57.3
Desmodus rotundus,KT894577,1353,0.725,44.7,47.5,38.8,47.9,55.8
Desmodus rotundus,KT894578,1353,0.725,44.8,47.5,38.8,48.1,55.8
Desmodus rotundus,KX148264,1353,0.727,44.7,47.9,38.8,47.5,56.2
Desmodus rotundus,KY451767,1353,0.728,45,47.9,38.8,48.3,56.8
Desmodus rotundus,MG201879,1353,0.726,44.7,47.5,39,47.7,56.4
Desmodus rotundus,MG201880,1353,0.725,44.4,47.5,38.8,47,56.3
Desmodus rotundus,MG201884,1353,0.727,44.6,47.5,38.8,47.7,56.3
Desmodus rotundus,MG201919,1353,0.728,44.8,47.5,38.8,48.1,56.5
Desmodus rotundus,MG201921,1353,0.732,44.5,47.2,38.8,47.5,56.4
Desmodus rotundus,MN784132,1353,0.727,44.6,47.5,38.8,47.7,56.6
Desmodus rotundus,FJ598135,1353,0.731,43.9,47.2,39,45.5,59.5
Desmodus rotundus,FJ712195,1353,0.737,44.6,47.5,39.2,47,57.2
Desmodus rotundus,FJ712196,1353,0.733,44.1,47.5,39,45.7,58.7
Desmodus rotundus,FJ719751,1353,0.731,44.5,47.5,39,47,58.9
Desmodus rotundus,FJ719753,1353,0.73,44.1,47.5,38.8,46.1,59.6
Desmodus rotundus,FJ719755,1353,0.732,44.6,47.5,39,47.2,59.5
Desmodus rotundus,GU647092,1353,0.731,44.2,47.5,38.8,46.3,59.9
Desmodus rotundus,HQ118114,1353,0.731,44.1,47.5,39,45.7,59.4
Desmodus rotundus,JN974877,1353,0.733,44.1,47.5,39.2,45.7,59.4
Desmodus rotundus,JQ950446,1353,0.729,44.6,47.9,39,46.8,59.4
Desmodus rotundus,JQ950448,1353,0.732,44.3,47.7,39,46.3,59.3
Desmodus rotundus,KF726852,1353,0.732,44.7,47.9,39.2,47,59.5
Desmodus rotundus,KP319185,1353,0.733,44.4,47.5,38.8,47,59.6
Desmodus rotundus,KP319186,1353,0.73,44.5,47.5,39,47,58.8
Desmodus rotundus,KP319187,1353,0.733,44.1,47.5,38.8,46.1,59.7
Desmodus rotundus,KP319188,1353,0.731,44.6,47.5,39,47.2,58.9
Desmodus rotundus,KP319191,1353,0.731,44.1,47.5,38.8,46.1,59.6
Desmodus rotundus,KP319193,1353,0.732,44.2,47.5,39,46.1,59.4
Desmodus rotundus,KP319194,1353,0.73,44.6,48.1,39,46.8,59.4
Desmodus rotundus,KP319195,1353,0.731,44.7,47.9,39,47.2,59.3
Desmodus rotundus,KP319199,1353,0.729,44.4,47.5,39.2,46.6,58.5
Desmodus rotundus,KP319201,1353,0.729,44.3,47.5,39.2,46.3,58.4
Desmodus rotundus,KP319203,1353,0.733,44.3,47.5,39,46.6,59.3
Desmodus rotundus,KP319204,1353,0.733,44.3,47.5,39,46.6,59.3
Desmodus rotundus,KP319205,1353,0.73,44.5,47.7,39.5,46.3,59.4
Desmodus rotundus,KP319206,1353,0.74,44.3,47.5,38.8,46.8,59.6
Desmodus rotundus,KP319207,1353,0.738,44.4,47.5,38.8,47,59.6
Desmodus rotundus,MT068612,1353,0.732,44.5,47.2,39.2,47,57.9
Desmodus rotundus,MT068615,1353,0.735,44.5,47.7,39,46.8,59
Desmodus rotundus,AY854505,1353,0.74,44.1,47.5,39,45.7,56
Desmodus rotundus,AY854525,1353,0.74,44.2,47.7,39,45.9,55.7
Desmodus rotundus,AY854531,1353,0.743,44.2,47.9,39.2,45.5,54.5
Desmodus rotundus,AY854544,1353,0.747,44.5,47.7,39.2,46.6,55.8
Desmodus rotundus,AY854546,1353,0.747,44.5,47.7,39.2,46.6,55.5
Desmodus rotundus,AY854558,1353,0.739,44.8,47.5,39.2,47.7,55.6
Desmodus rotundus,AY854567,1353,0.733,44.8,48.1,39,47.2,55.9
Desmodus rotundus,AY854573,1353,0.735,44.4,48.1,39,46.1,55.6
Desmodus rotundus,AY854576,1353,0.742,43.9,47.9,39,44.8,54.5
Desmodus rotundus,AB284509,1353,0.742,44.9,47.9,38.8,48.1,53.2
Desmodus rotundus,AB284511,1353,0.743,44.9,47.7,38.8,48.1,53.2
Desmodus rotundus,AB284512,1353,0.74,44.9,47.9,38.8,47.9,53.3
Desmodus rotundus,AB284513,1353,0.743,44.9,47.7,38.8,48.1,52.2
Desmodus rotundus,AB284514,1353,0.742,44.9,47.7,38.8,48.1,53.5
Desmodus rotundus,EU853582,1353,0.738,44.7,48.1,39,47,52.8
Desmodus rotundus,EU853584,1353,0.734,44.6,48.3,38.8,46.6,52.4
Desmodus rotundus,EU853586,1353,0.735,44.5,48.3,38.8,46.3,52.2
Desmodus rotundus,EU853587,1353,0.731,44.2,48.1,38.8,45.7,51.4
Desmodus rotundus,EU853590,1353,0.731,44.1,48.1,38.6,45.7,51.8
Desmodus rotundus,HM179504,1353,0.729,44.1,48.1,39,45,53.8
Desmodus rotundus,HM179505,1353,0.733,44.6,48.1,39,46.6,53.3
Desmodus rotundus,HM179506,1353,0.741,44.5,48.1,38.8,46.6,52.9
Desmodus rotundus,KF155002,1353,0.743,44.9,48.1,38.6,48.1,53.4
Desmodus rotundus,KR534217,1353,0.741,44.6,48.1,38.8,47,52.8
Desmodus rotundus,KR534218,1353,0.739,44.6,48.1,38.8,46.8,52.8
Desmodus rotundus,KR534219,1353,0.729,43.8,47.9,38.6,45,52.3
Desmodus rotundus,KR534228,1353,0.728,43.9,47.9,38.6,45.2,52.8
Desmodus rotundus,KR534229,1353,0.739,44.7,48.1,38.8,47.2,54
Desmodus rotundus,KR534230,1353,0.727,44.3,48.1,38.8,46.1,52.8
Desmodus rotundus,KR534233,1353,0.738,44.6,48.1,38.8,47,53.9
Desmodus rotundus,KR534238,1353,0.728,43.8,47.9,38.6,45,52.8
Desmodus rotundus,KR534244,1353,0.738,44.7,48.1,38.8,47.2,53.9
Desmodus rotundus,KR534250,1353,0.739,44.9,48.1,38.8,47.7,53.8
Desmodus rotundus,KR534251,1353,0.728,43.9,47.9,38.6,45.2,52.7
Desmodus rotundus,KR534252,1353,0.723,44.1,47.9,38.6,45.7,52.7
Desmodus rotundus,KR534253,1353,0.739,44.6,48.1,38.8,46.8,53.4
Desmodus rotundus,KR906735,1353,0.736,44.9,48.3,38.8,47.5,54.4
Desmodus rotundus,KR906736,1353,0.736,44.8,48.3,38.8,47.2,54.5
Desmodus rotundus,KR906739,1353,0.733,44.1,47.9,38.6,45.7,52.9
Desmodus rotundus,KR906741,1353,0.734,44.4,48.1,38.8,46.3,53.8
Desmodus rotundus,KR906742,1353,0.742,44.9,48.1,38.8,47.9,53.9
Desmodus rotundus,KR906744,1353,0.732,44,47.9,38.6,45.5,53
Desmodus rotundus,KR906745,1353,0.743,44.6,47.9,38.8,47.2,53.4
Desmodus rotundus,KR906746,1353,0.728,44.1,48.1,38.8,45.2,52.2
Desmodus rotundus,KR906747,1353,0.729,44.2,48.1,38.8,45.7,52.3
Desmodus rotundus,KR906748,1353,0.734,43.5,47.5,38.8,44.3,54.3
Desmodus rotundus,KR906749,1353,0.735,44.4,47.9,38.8,46.6,53.7
Desmodus rotundus,KR906751,1353,0.729,44.2,48.1,38.6,45.9,52.5
Desmodus rotundus,KR906756,1353,0.739,44.8,48.1,38.8,47.5,53.7
Desmodus rotundus,KR906757,1353,0.734,44.2,48.1,38.4,46.1,52.2
Desmodus rotundus,KR906759,1353,0.727,43.9,47.9,38.6,45.2,53.2
Desmodus rotundus,KR906762,1353,0.744,44.9,47.9,38.8,47.9,54
Desmodus rotundus,KR906763,1353,0.737,44.8,48.1,38.8,47.5,54.3
Desmodus rotundus,KR906765,1353,0.738,44.9,48.3,38.8,47.7,55
Desmodus rotundus,KR906766,1353,0.736,44.9,48.3,38.8,47.5,54.4
Desmodus rotundus,KR906767,1353,0.738,44.6,48.1,38.8,47,53.3
Desmodus rotundus,KR906770,1353,0.724,44.1,47.9,38.8,45.7,53
Desmodus rotundus,KR906773,1353,0.74,44.6,48.1,38.8,47,54.4
Desmodus rotundus,KR906780,1353,0.74,44.6,48.1,38.8,47,53.4
Desmodus rotundus,KR906784,1353,0.723,44.2,47.9,38.8,45.9,53.2
Desmodus rotundus,KR906790,1353,0.727,44.4,48.3,38.6,46.3,53.1
Desmodus rotundus,KR906792,1353,0.739,45,48.3,38.8,47.9,53.8
Desmodus rotundus,KT336432,1353,0.737,44.6,47.9,39,47,53.4
Desmodus rotundus,KT336433,1353,0.738,44.4,48.1,39,46.1,53.1
Desmodus rotundus,KT336434,1353,0.736,44.9,48.1,39,47.7,52.9
Desmodus rotundus,KT336435,1353,0.735,44.2,47.9,39,45.7,53.7
Desmodus rotundus,KT336436,1353,0.735,44.4,47.9,39,46.3,53
Desmodus rotundus,KT336437,1353,0.735,44.3,47.9,39.2,45.7,54.4
Desmodus rotundus,KX148203,1353,0.73,44.6,48.1,39,46.6,53.1
Desmodus rotundus,KX148204,1353,0.731,43.9,47.9,39,44.8,52.2
Desmodus rotundus,KX148206,1353,0.731,43.9,47.9,38.6,45.2,53.5
Desmodus rotundus,KX148208,1353,0.737,44.3,47.9,38.8,46.1,53.2
Desmodus rotundus,KY210224,1353,0.739,44.9,48.1,38.8,47.9,53.9
Desmodus rotundus,KY210243,1353,0.739,44.8,48.1,38.8,47.5,53.7
Desmodus rotundus,KY210247,1353,0.737,44.8,48.1,38.8,47.5,54.1
Desmodus rotundus,KY210249,1353,0.739,44.8,48.1,38.8,47.5,53.9
Desmodus rotundus,KY210253,1353,0.724,43.8,47.9,38.8,44.8,53.1
Desmodus rotundus,KY210263,1353,0.727,44.3,48.1,38.6,46.3,53.2
Desmodus rotundus,KY210264,1353,0.729,44.1,47.9,38.8,45.7,52.9
Desmodus rotundus,KY210279,1353,0.724,44.2,48.1,38.8,45.7,53.4
Desmodus rotundus,KY210287,1353,0.739,44.6,48.1,38.8,46.8,53.4
Desmodus rotundus,KY210304,1353,0.725,44.2,47.9,38.8,45.9,53.1
Desmodus rotundus,KY563717,1353,0.734,45,48.3,39.2,47.5,52.9
Desmodus rotundus,LC029890,1353,0.734,44.2,47.7,38.8,46.1,53.6
Desmodus rotundus,MN726804,1353,0.742,44.9,48.1,38.6,47.9,53.7
Desmodus rotundus,MN726826,1353,0.742,44.8,47.9,38.8,47.7,54.1
Desmodus rotundus,MN726827,1353,0.742,44.9,47.9,38.8,47.9,54.1
Desmodus rotundus,MT454631,1353,0.738,44.7,47.9,39,47.2,53.6
Desmodus rotundus,MT454635,1353,0.739,44.6,47.9,39,47,53.2
Desmodus rotundus,MT454637,1353,0.738,44.8,47.9,39,47.5,53.4
Desmodus rotundus,MT454641,1353,0.737,44.6,47.9,39,46.8,53.5
Desmodus rotundus,MT454643,1353,0.728,44.3,48.3,39,45.5,51.6
Desmodus rotundus,MT454644,1353,0.732,44.1,48.1,38.8,45.2,51.9
Desmodus rotundus,MT454645,1353,0.728,44.2,48.3,39,45.2,51.6
Desmodus rotundus,OK317992,1353,0.738,44.2,48.1,39,45.5,51.6
Desmodus rotundus,OK317993,1353,0.739,44.3,48.1,39,45.9,51.6
Desmodus rotundus,OK317995,1353,0.737,44.1,48.1,39,45.2,51.7
Desmodus rotundus,OK317996,1353,0.737,44.1,48.1,39,45.2,51.6
Desmodus rotundus,OK317998,1353,0.737,44.3,48.3,39,45.5,52.3
Desmodus rotundus,OK317999,1353,0.734,44.1,48.3,39,44.8,51.4
Desmodus rotundus,OP375406,1353,0.74,44.9,48.1,39,47.5,54
Desmodus rotundus,OP375407,1353,0.741,44.9,48.1,38.6,47.9,54.1
Desmodus rotundus,OP375410,1353,0.74,44.9,48.1,38.8,47.9,53.8
Desmodus rotundus,OP375413,1353,0.742,44.9,47.9,38.8,47.9,54.2
Desmodus rotundus,OP375414,1353,0.743,44.5,47.9,38.8,46.8,53.2
Desmodus rotundus,OP375415,1353,0.742,44.6,47.9,38.8,47,53.5
