"","Accession","Clade","Year","Host","purines","purines1","purines2","purines3"
"236","GU644720","Bats LC","2004","Lasiurus cinereus",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"237","JQ685947","Bats LC","2004","Lasiurus cinereus",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"238","GU644712","Bats LC","2005","Lasiurus cinereus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"239","GU644713","Bats LC","2005","Lasiurus cinereus",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"240","GU644714","Bats LC","2005","Lasiurus cinereus",0.535846267553585,0.634146341463415,0.481152993348115,0.492239467849224
"241","GU644715","Bats LC","2005","Lasiurus cinereus",0.532150776053215,0.629711751662971,0.483370288248337,0.483370288248337
"242","GU644716","Bats LC","2005","Lasiurus cinereus",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"243","GU644721","Bats LC","2005","Lasiurus cinereus",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"244","AF351845","Bats LC","","Lasiurus cinereus",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"245","AF351846","Bats LC","","Lasiurus cinereus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"246","AF351858","Bats LC","","Lasiurus cinereus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"247","AF394883","Bats LC","","Lasiurus cinereus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"248","AF394884","Bats LC","","Lasiurus cinereus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"249","GU644765","Bats TB1","2002","Tadarida brasiliensis",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"250","GU644766","Bats TB1","2003","Tadarida brasiliensis",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"251","GU644767","Bats TB1","2003","Tadarida brasiliensis",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"252","GU644768","Bats TB1","2003","Tadarida brasiliensis",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"253","GU644769","Bats TB1","2003","Tadarida brasiliensis",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"254","GU644770","Bats TB1","2003","Tadarida brasiliensis",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"255","GU644771","Bats TB1","2003","Tadarida brasiliensis",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"256","GU644772","Bats TB1","2003","Tadarida brasiliensis",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"257","GU644773","Bats TB1","2003","Tadarida brasiliensis",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"258","GU644774","Bats TB1","2003","Tadarida brasiliensis",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"259","GU644784","Bats TB1","2003","Tadarida brasiliensis",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"260","GU644785","Bats TB1","2003","Tadarida brasiliensis",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"261","GU644786","Bats TB1","2003","Tadarida brasiliensis",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"262","GU644787","Bats TB1","2003","Tadarida brasiliensis",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"263","JQ685905","Bats TB1","2003","Tadarida brasiliensis",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"264","GU644775","Bats TB1","2004","Tadarida brasiliensis",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"265","GU644776","Bats TB1","2004","Tadarida brasiliensis",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"266","GU644777","Bats TB1","2004","Tadarida brasiliensis",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"267","GU644778","Bats TB1","2004","Tadarida brasiliensis",0.535107169253511,0.631929046563193,0.483370288248337,0.490022172949002
"268","GU644779","Bats TB1","2004","Tadarida brasiliensis",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"269","GU644780","Bats TB1","2004","Tadarida brasiliensis",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"270","GU644781","Bats TB1","2004","Tadarida brasiliensis",0.535107169253511,0.631929046563193,0.483370288248337,0.490022172949002
"271","GU644782","Bats TB1","2004","Tadarida brasiliensis",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"272","GU644788","Bats TB1","2004","Tadarida brasiliensis",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"273","GU644760","Bats TB1","2005","Tadarida brasiliensis",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"274","GU644761","Bats TB1","2005","Tadarida brasiliensis",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"275","GU644762","Bats TB1","2005","Tadarida brasiliensis",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"276","GU644763","Bats TB1","2005","Tadarida brasiliensis",0.537324464153732,0.634146341463415,0.483370288248337,0.494456762749446
"277","GU644764","Bats TB1","2005","Tadarida brasiliensis",0.537324464153732,0.634146341463415,0.483370288248337,0.494456762749446
"278","AF351849","Bats TB1","","Tadarida brasiliensis",0.537324464153732,0.634146341463415,0.483370288248337,0.494456762749446
"279","AF394876","Bats TB1","","Tadarida brasiliensis",0.537324464153732,0.634146341463415,0.483370288248337,0.494456762749446
"280","KX148203","Cosmopolitan AF1b","1986","Canis familiaris",0.537324464153732,0.634146341463415,0.483370288248337,0.494456762749446
"281","KT336433","Cosmopolitan AF1b","1991","Canis familiaris",0.537324464153732,0.634146341463415,0.483370288248337,0.494456762749446
"282","KT336434","Cosmopolitan AF1b","1992","Canis familiaris",0.537324464153732,0.634146341463415,0.483370288248337,0.494456762749446
"283","KX148204","Cosmopolitan AF1b","1992","Canis familiaris",0.529194382852919,0.625277161862528,0.483370288248337,0.478935698447894
"284","KX148208","Cosmopolitan AF1b","1992","Canis familiaris",0.529933481152993,0.629711751662971,0.483370288248337,0.476718403547672
"285","KT336435","Cosmopolitan AF1b","1993","Canis familiaris",0.529933481152993,0.627494456762749,0.483370288248337,0.478935698447894
"286","KY563717","Cosmopolitan AF1b","1994","Canis familiaris",0.531411677753141,0.627494456762749,0.481152993348115,0.485587583148559
"287","EU853582","Cosmopolitan AF1b","1995","Canis familiaris",0.529933481152993,0.627494456762749,0.481152993348115,0.481152993348115
"288","HM179506","Cosmopolitan AF1b","1996","Canis familiaris",0.529194382852919,0.627494456762749,0.483370288248337,0.476718403547672
"289","KX148206","Cosmopolitan AF1b","1996","Canis familiaris",0.529194382852919,0.627494456762749,0.483370288248337,0.476718403547672
"290","AB284509","Cosmopolitan AF1b","2000","Canis lupus familiaris",0.530672579453067,0.627494456762749,0.481152993348115,0.483370288248337
"291","AB284511","Cosmopolitan AF1b","2000","Canis lupus familiaris",0.530672579453067,0.627494456762749,0.481152993348115,0.483370288248337
"292","EU853590","Cosmopolitan AF1b","2000","Canis familiaris",0.533628972653363,0.629711751662971,0.483370288248337,0.48780487804878
"293","EU853586","Cosmopolitan AF1b","2003","Canis familiaris",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"294","KR906741","Cosmopolitan AF1b","2003","Canis familiaris",0.536585365853659,0.636363636363636,0.483370288248337,0.490022172949002
"295","AB284514","Cosmopolitan AF1b","2004","Canis lupus familiaris",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"296","EU853584","Cosmopolitan AF1b","2004","Canis familiaris",0.532150776053215,0.634146341463415,0.481152993348115,0.481152993348115
"297","HM179505","Cosmopolitan AF1b","2004","Canis familiaris",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"298","KR906739","Cosmopolitan AF1b","2004","Canis familiaris",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"299","AB284512","Cosmopolitan AF1b","2005","Canis lupus familiaris",0.532150776053215,0.631929046563193,0.481152993348115,0.483370288248337
"300","AB284513","Cosmopolitan AF1b","2005","Canis lupus familiaris",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"301","EU853587","Cosmopolitan AF1b","2006","Canis familiaris",0.532150776053215,0.631929046563193,0.483370288248337,0.481152993348115
"302","HM179504","Cosmopolitan AF1b","2006","Canis familiaris",0.532150776053215,0.629711751662971,0.483370288248337,0.483370288248337
"303","KR534219","Cosmopolitan AF1b","2007","Canis familiaris",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"304","OP375407","Cosmopolitan AF1b","2007","Canis familiaris",0.534368070953437,0.631929046563193,0.483370288248337,0.48780487804878
"305","KR534217","Cosmopolitan AF1b","2008","Canis familiaris",0.533628972653363,0.629711751662971,0.483370288248337,0.48780487804878
"306","KR534218","Cosmopolitan AF1b","2008","Canis familiaris",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"307","KR906735","Cosmopolitan AF1b","2008","Canis familiaris",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"308","KR906736","Cosmopolitan AF1b","2008","Canis familiaris",0.529933481152993,0.629711751662971,0.483370288248337,0.476718403547672
"309","KR906742","Cosmopolitan AF1b","2009","Canis familiaris",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"310","OP375406","Cosmopolitan AF1b","2009","Canis familiaris",0.530672579453067,0.631929046563193,0.478935698447894,0.481152993348115
"311","KF155002","Cosmopolitan AF1b","2010","Canis familiaris",0.529194382852919,0.629711751662971,0.483370288248337,0.47450110864745
"312","KR534228","Cosmopolitan AF1b","2010","Canis familiaris",0.532889874353289,0.634146341463415,0.483370288248337,0.481152993348115
"313","KR534229","Cosmopolitan AF1b","2010","Canis familiaris",0.532889874353289,0.634146341463415,0.483370288248337,0.481152993348115
"314","KR534230","Cosmopolitan AF1b","2010","Canis familiaris",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"315","KR906744","Cosmopolitan AF1b","2010","Canis familiaris",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"316","KR906745","Cosmopolitan AF1b","2010","Canis familiaris",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"317","KR906746","Cosmopolitan AF1b","2010","Canis familiaris",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"318","KR906747","Cosmopolitan AF1b","2010","Canis familiaris",0.532889874353289,0.629711751662971,0.483370288248337,0.485587583148559
"319","KR906748","Cosmopolitan AF1b","2010","Canis familiaris",0.532150776053215,0.629711751662971,0.483370288248337,0.483370288248337
"320","KR906749","Cosmopolitan AF1b","2010","Canis familiaris",0.532889874353289,0.631929046563193,0.483370288248337,0.483370288248337
"321","KR906757","Cosmopolitan AF1b","2010","Canis familiaris",0.532150776053215,0.629711751662971,0.483370288248337,0.483370288248337
"322","KR906759","Cosmopolitan AF1b","2010","Canis familiaris",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"323","KR906762","Cosmopolitan AF1b","2010","Canis familiaris",0.535107169253511,0.638580931263858,0.481152993348115,0.485587583148559
"324","KR906763","Cosmopolitan AF1b","2010","Canis familiaris",0.532889874353289,0.634146341463415,0.483370288248337,0.481152993348115
"325","KR906765","Cosmopolitan AF1b","2010","Canis familiaris",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"326","KR906766","Cosmopolitan AF1b","2010","Canis familiaris",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"327","KY210224","Cosmopolitan AF1b","2010","Canis familiaris",0.531411677753141,0.634146341463415,0.483370288248337,0.476718403547672
"328","KR534233","Cosmopolitan AF1b","2011","Canis familiaris",0.530672579453067,0.634146341463415,0.483370288248337,0.47450110864745
"329","KR534238","Cosmopolitan AF1b","2011","Canis familiaris",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"330","KR534244","Cosmopolitan AF1b","2011","Canis familiaris",0.531411677753141,0.629711751662971,0.483370288248337,0.481152993348115
"331","KR534250","Cosmopolitan AF1b","2011","Canis familiaris",0.529933481152993,0.629711751662971,0.483370288248337,0.476718403547672
"332","KR534251","Cosmopolitan AF1b","2011","Canis familiaris",0.528455284552846,0.634146341463415,0.483370288248337,0.467849223946785
"333","KR534252","Cosmopolitan AF1b","2011","Canis familiaris",0.527716186252772,0.634146341463415,0.483370288248337,0.465631929046563
"334","KR534253","Cosmopolitan AF1b","2011","Canis familiaris",0.527716186252772,0.634146341463415,0.481152993348115,0.467849223946785
"335","KR906751","Cosmopolitan AF1b","2011","Canis familiaris",0.529194382852919,0.634146341463415,0.483370288248337,0.470066518847007
"336","KR906756","Cosmopolitan AF1b","2011","Canis familiaris",0.529194382852919,0.634146341463415,0.483370288248337,0.470066518847007
"337","KR906767","Cosmopolitan AF1b","2011","Canis familiaris",0.528455284552846,0.634146341463415,0.481152993348115,0.470066518847007
"338","KR906770","Cosmopolitan AF1b","2011","Canis familiaris",0.527716186252772,0.634146341463415,0.483370288248337,0.465631929046563
"339","KR906773","Cosmopolitan AF1b","2011","Canis familiaris",0.528455284552846,0.634146341463415,0.483370288248337,0.467849223946785
"340","KR906780","Cosmopolitan AF1b","2011","Canis familiaris",0.528455284552846,0.634146341463415,0.483370288248337,0.467849223946785
"341","KY210243","Cosmopolitan AF1b","2011","Canis familiaris",0.527716186252772,0.634146341463415,0.481152993348115,0.467849223946785
"342","KY210279","Cosmopolitan AF1b","2011","Canis familiaris",0.528455284552846,0.634146341463415,0.483370288248337,0.467849223946785
"343","LC029890","Cosmopolitan AF1b","2011","Canis familiaris",0.526977087952698,0.631929046563193,0.481152993348115,0.467849223946785
"344","KR906784","Cosmopolitan AF1b","2012","Canis familiaris",0.528455284552846,0.634146341463415,0.483370288248337,0.467849223946785
"345","KR906790","Cosmopolitan AF1b","2012","Canis familiaris",0.529194382852919,0.634146341463415,0.483370288248337,0.470066518847007
"346","KR906792","Cosmopolitan AF1b","2012","Canis familiaris",0.527716186252772,0.634146341463415,0.483370288248337,0.465631929046563
"347","KT336432","Cosmopolitan AF1b","2012","Canis familiaris",0.527716186252772,0.634146341463415,0.481152993348115,0.467849223946785
"348","KT336436","Cosmopolitan AF1b","2012","Canis familiaris",0.528455284552846,0.634146341463415,0.483370288248337,0.467849223946785
"349","KT336437","Cosmopolitan AF1b","2012","Canis familiaris",0.527716186252772,0.634146341463415,0.481152993348115,0.467849223946785
"350","KY210247","Cosmopolitan AF1b","2012","Canis familiaris",0.528455284552846,0.634146341463415,0.483370288248337,0.467849223946785
"351","KY210249","Cosmopolitan AF1b","2012","Canis familiaris",0.528455284552846,0.634146341463415,0.483370288248337,0.467849223946785
"352","KY210287","Cosmopolitan AF1b","2012","Canis familiaris",0.528455284552846,0.634146341463415,0.483370288248337,0.467849223946785
"353","KY210304","Cosmopolitan AF1b","2012","Canis familiaris",0.528455284552846,0.634146341463415,0.483370288248337,0.467849223946785
"354","KY210253","Cosmopolitan AF1b","2013","Canis familiaris",0.529194382852919,0.634146341463415,0.483370288248337,0.470066518847007
"355","KY210263","Cosmopolitan AF1b","2013","Canis familiaris",0.529194382852919,0.634146341463415,0.483370288248337,0.470066518847007
"356","KY210264","Cosmopolitan AF1b","2013","Canis familiaris",0.529194382852919,0.634146341463415,0.483370288248337,0.470066518847007
"357","MN726804","Cosmopolitan AF1b","2015","Canis familiaris",0.529194382852919,0.634146341463415,0.483370288248337,0.470066518847007
"358","MT454631","Cosmopolitan AF1b","2015","Canis familiaris",0.527716186252772,0.634146341463415,0.483370288248337,0.465631929046563
"359","MT454635","Cosmopolitan AF1b","2015","Canis familiaris",0.529194382852919,0.634146341463415,0.483370288248337,0.470066518847007
"360","OP375414","Cosmopolitan AF1b","2015","Canis familiaris",0.528455284552846,0.636363636363636,0.478935698447894,0.470066518847007
"361","OP375415","Cosmopolitan AF1b","2015","Canis familiaris",0.528455284552846,0.634146341463415,0.481152993348115,0.470066518847007
"362","OR045949","Cosmopolitan AF1b","2015","Canis familiaris",0.528455284552846,0.634146341463415,0.483370288248337,0.467849223946785
"363","MN726826","Cosmopolitan AF1b","2016","Canis familiaris",0.536585365853659,0.636363636363636,0.483370288248337,0.490022172949002
"364","MT454637","Cosmopolitan AF1b","2016","Canis familiaris",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"365","MT454641","Cosmopolitan AF1b","2016","Canis familiaris",0.537324464153732,0.636363636363636,0.483370288248337,0.492239467849224
"366","OP375410","Cosmopolitan AF1b","2016","Canis familiaris",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"367","OP375413","Cosmopolitan AF1b","2016","Canis familiaris",0.532889874353289,0.634146341463415,0.481152993348115,0.483370288248337
"368","OP375418","Cosmopolitan AF1b","2016","Canis familiaris",0.536585365853659,0.636363636363636,0.483370288248337,0.490022172949002
"369","OP375421","Cosmopolitan AF1b","2016","Canis familiaris",0.538063562453806,0.638580931263858,0.483370288248337,0.492239467849224
"370","OR045939","Cosmopolitan AF1b","2016","Canis familiaris",0.536585365853659,0.636363636363636,0.483370288248337,0.490022172949002
"371","MN726827","Cosmopolitan AF1b","2017","Canis familiaris",0.536585365853659,0.638580931263858,0.483370288248337,0.48780487804878
"372","MT454643","Cosmopolitan AF1b","2017","Canis familiaris",0.537324464153732,0.638580931263858,0.483370288248337,0.490022172949002
"373","MT454644","Cosmopolitan AF1b","2017","Canis familiaris",0.535107169253511,0.638580931263858,0.483370288248337,0.483370288248337
"374","MT454645","Cosmopolitan AF1b","2017","Canis familiaris",0.535846267553585,0.638580931263858,0.483370288248337,0.485587583148559
"375","OK317992","Cosmopolitan AF1b","2017","Canis familiaris",0.536585365853659,0.638580931263858,0.483370288248337,0.48780487804878
"376","OK317995","Cosmopolitan AF1b","2017","Canis familiaris",0.536585365853659,0.638580931263858,0.483370288248337,0.48780487804878
"377","OK317998","Cosmopolitan AF1b","2017","Canis familiaris",0.534368070953437,0.636363636363636,0.478935698447894,0.48780487804878
"378","OP375423","Cosmopolitan AF1b","2017","Canis familiaris",0.534368070953437,0.636363636363636,0.478935698447894,0.48780487804878
"379","OK317993","Cosmopolitan AF1b","2018","Canis familiaris",0.538063562453806,0.638580931263858,0.483370288248337,0.492239467849224
"380","OK317996","Cosmopolitan AF1b","2018","Canis familiaris",0.536585365853659,0.638580931263858,0.483370288248337,0.48780487804878
"381","OK317999","Cosmopolitan AF1b","2018","Canis familiaris",0.536585365853659,0.638580931263858,0.483370288248337,0.48780487804878
"382","OR270973","Cosmopolitan AF1b","2021","Canis familiaris",0.536585365853659,0.638580931263858,0.483370288248337,0.48780487804878
"383","OR270979","Cosmopolitan AF1b","2022","Canis familiaris",0.538063562453806,0.638580931263858,0.485587583148559,0.490022172949002
"384","OR270997","Cosmopolitan AF1b","2022","Canis familiaris",0.535846267553585,0.638580931263858,0.483370288248337,0.485587583148559
"385","OR270998","Cosmopolitan AF1b","2022","Canis familiaris",0.536585365853659,0.638580931263858,0.483370288248337,0.48780487804878
"386","OR270999","Cosmopolitan AF1b","2022","Canis familiaris",0.536585365853659,0.638580931263858,0.483370288248337,0.48780487804878
"387","OR271001","Cosmopolitan AF1b","2022","Canis familiaris",0.535846267553585,0.638580931263858,0.483370288248337,0.485587583148559
"388","OR271003","Cosmopolitan AF1b","2022","Canis familiaris",0.536585365853659,0.638580931263858,0.483370288248337,0.48780487804878
"389","PV855388","Cosmopolitan AF1b","2022","Canis familiaris",0.536585365853659,0.638580931263858,0.483370288248337,0.48780487804878
"390","PV855390","Cosmopolitan AF1b","2022","Canis familiaris",0.536585365853659,0.636363636363636,0.483370288248337,0.490022172949002
"391","PV855392","Cosmopolitan AF1b","2022","Canis familiaris",0.536585365853659,0.638580931263858,0.483370288248337,0.48780487804878
"392","PV855393","Cosmopolitan AF1b","2022","Canis familiaris",0.537324464153732,0.638580931263858,0.483370288248337,0.490022172949002
"393","PV855394","Cosmopolitan AF1b","2022","Canis familiaris",0.538063562453806,0.638580931263858,0.483370288248337,0.492239467849224
"394","PV855397","Cosmopolitan AF1b","2022","Canis familiaris",0.535846267553585,0.638580931263858,0.483370288248337,0.485587583148559
"395","PV855415","Cosmopolitan AF1b","2022","Canis familiaris",0.535846267553585,0.638580931263858,0.483370288248337,0.485587583148559
"396","AY854544","Cosmopolitan AM2a","2000","mongoose",0.535846267553585,0.638580931263858,0.483370288248337,0.485587583148559
"397","AY854567","Cosmopolitan AM2a","2000","mongoose",0.535846267553585,0.638580931263858,0.483370288248337,0.485587583148559
"398","AY854576","Cosmopolitan AM2a","2000","mongoose",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"399","AY854505","Cosmopolitan AM2a","2001","mongoose",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"400","AY854525","Cosmopolitan AM2a","2001","mongoose",0.535107169253511,0.631929046563193,0.483370288248337,0.490022172949002
"401","AY854573","Cosmopolitan AM2a","2001","mongoose",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"402","AY854531","Cosmopolitan AM2a","2002","mongoose",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"403","AY854546","Cosmopolitan AM2a","2002","mongoose",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"404","AY854558","Cosmopolitan AM2a","2002","mongoose",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"405","JQ685938","RAC-SK SCSK","2009","Mephitis mephitis",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"406","JQ685968","RAC-SK SCSK","2009","Mephitis mephitis",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"407","MW055084","RAC-SK SCSK","2017","skunk",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"408","MW055085","RAC-SK SCSK","2017","skunk",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"409","MW055086","RAC-SK SCSK","2017","skunk",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"410","MW055087","RAC-SK SCSK","2017","skunk",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"411","EU345002","RAC-SK SCSK","","skunk",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"412","EU345003","RAC-SK SCSK","","skunk",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"413","EU345004","RAC-SK SCSK","","skunk",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
