sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
KY210293	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11915	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3119
KY210294	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11920	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3121
KY210295	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3122
KY210296	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3124
KY210299	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11914	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3134
KY210300	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3135
KY210303	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3138
KY210304	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3139
KY210307	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3150
KY210311	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11919	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3154
KY563717	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZWE	Zimbabwe	-	1994	1994	1994	1353	29-Jun-2017	29-Jun-2017	Canis familiaris	-	22547
LC029890	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	UGA	Uganda	-	2011	2011	2011	1487	06-Apr-2015	06-Apr-2015	Canis familiaris	-	UGdg14
MN726804	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2015	2015	2015	11923	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SUB7087
MN726809	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2016	2016	2016	11545	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	PM015
MN726818	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2015	2015	2015	11869	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	SD601
MN726824	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2016	2016	2016	11632	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	RAB16031
MN726826	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2016	2016	2016	11868	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	Rab16025
MN726827	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11869	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	PM023
MN726835	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	2017	2017	2017	11559	25-Dec-2019	25-Dec-2019	Canis lupus familiaris	-	PM018
MT454631	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2015	2015	2015	11923	08-Jul-2020	08-Jul-2020	Canis lupus familiaris	-	125/15
MT454634	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2015	2015	2015	11923	08-Jul-2020	08-Jul-2020	Canis lupus familiaris	-	471/15
MT454635	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2015	2015	2015	11923	08-Jul-2020	08-Jul-2020	Canis lupus familiaris	-	682/15
MT454636	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2016	2016	2016	11923	08-Jul-2020	08-Jul-2020	Canis lupus familiaris	-	516/16
MT454637	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2016	2016	2016	11923	08-Jul-2020	08-Jul-2020	Canis lupus familiaris	-	583/16
MT454639	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2016	2016	2016	11923	08-Jul-2020	08-Jul-2020	Canis lupus familiaris	-	635/16
MT454641	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2016	2016	2016	11923	08-Jul-2020	08-Jul-2020	Canis lupus familiaris	-	690/16
MT454643	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2017	2017	2017	11922	08-Jul-2020	08-Jul-2020	Canis lupus familiaris	-	269/17
MT454644	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2017	2017	2017	11923	08-Jul-2020	08-Jul-2020	Canis lupus familiaris	-	368/17
MT454645	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2017	2017	2017	11922	08-Jul-2020	08-Jul-2020	Canis lupus familiaris	-	400/17
